date,district,GAM Prevalence,next_prevalence,prevalence_diff
2020-01-01,Afmadow,0.3484296307635035,,
2020-01-01,Baki,0.2441924314943121,0.2082093691694821,-0.035983062324830006
2020-01-01,Borama,0.2138712946350238,0.1412881669919613,-0.07258312764306249
2020-01-01,Lughaye,0.3084001655970627,0.2421965609399425,-0.06620360465712019
2020-01-01,Zeylac,0.3136157179811676,0.2477857878475798,-0.06582993013358782
2020-01-01,Ceel Barde,0.6338574120659726,0.4899163797343827,-0.1439410323315899
2020-01-01,Rab Dhuure,0.4879275725437716,0.4204941640139457,-0.06743340852982593
2020-01-01,Tayeeglow,0.5185117637649114,0.4117135401565671,-0.10679822360834429
2020-01-01,Xudur,0.549549493748511,0.4469897765997728,-0.10255971714873824
2020-01-01,Banadir,0.4512394733904072,0.464595584853251,0.013356111462843767
2020-01-01,Bandarbeyla,0.3243528970286548,0.3404326123128119,0.016079715284157137
2020-01-01,Bossaso,0.4283242181220916,0.4153248254892724,-0.012999392632819184
2020-01-01,Caluula,0.4918983277534718,0.4729064039408867,-0.018991923812585132
2020-01-01,Iskushuban,0.3383899894950222,0.3742070183891431,0.03581702889412092
2020-01-01,Qandala,0.4205569846330418,0.4339712463105779,0.013414261677536066
2020-01-01,Baidoa,0.6178577398003026,,
2020-01-01,Badhaadhe,0.3489569935965541,0.2639538679142639,-0.08500312568229018
2020-01-01,Baraawe,0.4454830625784129,0.4505242752665433,0.005041212688130403
2020-01-01,Kismaayo,0.3769676308818636,0.3619308628245356,-0.015036768057327954
2020-01-01,Eyl,0.3279739567099389,0.345604315497886,0.01763035878794711
2020-01-01,Garoowe,0.2932033874905685,0.3761939925204259,0.08299060502985739
2020-01-01,Ceel Afweyn,0.4017099370835031,0.2885139291677652,-0.11319600791573792
2020-01-01,Ceerigaabo,0.3959349225046938,0.2514301767289815,-0.14450474577571232
2020-01-01,Laasqoray,0.4164773384659096,,
2020-01-01,Laas Caanood,0.3761680108430838,0.1814135894950207,-0.19475442134806312
2020-01-01,Taleex,0.3772534798111706,0.2199045926480217,-0.15734888716314888
2020-01-01,Burtinle,0.3607539512669208,0.415721780335082,0.05496782906816122
2020-01-01,Xudun,0.3569833355614147,0.2022031084955485,-0.1547802270658662
2020-01-01,Buuhoodle,0.2280735519390103,0.1350544166033915,-0.09301913533561881
2020-01-01,Owdweyne,0.2163547982087805,0.132173714024146,-0.08418108418463452
2020-01-01,Sheikh,0.2081401693223537,0.1455487847587028,-0.0625913845636509
2020-01-01,Berbera,0.2324431385911439,0.1808939137198255,-0.05154922487131841
2020-01-01,Gebiley,0.2667717736348647,0.1675903119868637,-0.09918146164800101
