index,date,district,prevalence,next_prevalence,prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,increase,increase_numeric,district_encoded,predictions
225,2021-01-01,Diinsoor,0.492387605230163,0.419636541705207,0.4420162648228424,3583.0,0.43500000000000005,0.13,7.0,139564.0,1,False,-0.07275106352495603,44,0.4847409415485594
226,2021-01-01,Kismaayo,0.3705150271415331,0.3934804082976622,0.3619308628245356,3583.0,0.47833333333333333,0.22,5.0,377653.0,1,True,0.02296538115612906,60,0.41289311956620595
227,2021-01-01,Ceel Dheer,0.2814535481659239,0.3369272237196765,0.2858416181007885,3583.0,0.2833333333333333,0.17,4.0,72923.0,1,True,0.0554736755537526,39,0.34661013845063227
228,2021-01-01,Kurtunwaarey,0.4643330681516839,0.4575951234622532,0.4855604762788724,3583.0,0.61,0.09,5.0,188548.0,1,False,-0.0067379446894307304,61,0.4279445030027907
229,2021-01-01,Cadale,0.2759462759462759,0.2873604609290601,0.2905168905168905,3583.0,0.39666666666666667,0.1,4.0,61428.0,1,True,0.011414184982784181,33,0.34838352862170746
230,2021-01-01,Luuq,0.3583282114320836,0.3731717928980219,0.3060848186846958,3583.0,0.22166666666666668,0.14,6.0,40676.0,1,True,0.014843581465938283,66,0.4191730071532263
232,2021-01-01,Marka,0.4615277970331346,0.4460078540314803,0.4905037846230626,3583.0,0.505,0.09,5.0,180336.0,1,False,-0.015519943001654324,67,0.4333677527469981
233,2021-01-01,Tayeeglow,0.4702754954084098,0.4212055712220329,0.4117135401565671,3583.0,0.43,0.09,5.0,51734.0,1,False,-0.0490699241863769,80,0.45949714414389
234,2021-01-01,Jamaame,0.3061224489795918,0.4376510659496103,0.3833278902677988,3583.0,0.48833333333333334,0.21,5.0,61242.0,1,True,0.1315286169700185,56,0.42257874267163387
235,2021-01-01,Owdweyne,0.1948497854077253,0.2280157801397049,0.132173714024146,3583.0,0.21,0.16,2.0,87386.0,1,True,0.03316599473197959,69,0.2588397783395498
236,2021-01-01,Hobyo,0.2841803865425912,0.2851447172525171,0.306084466714388,3583.0,0.21166666666666667,0.2,4.0,69851.0,1,True,0.0009643307099259091,53,0.32972374457646814
237,2021-01-01,Bu'aale,0.3788461538461538,0.4008547346761109,0.4118061786950391,3583.0,0.48333333333333334,0.14,6.0,78011.0,1,True,0.022008580829957103,24,0.4102570847409617
238,2021-01-01,Qansax Dheere,0.5084745762711864,0.4305075046172255,0.4244430093639005,3583.0,0.3866666666666667,0.1,7.0,61939.0,1,False,-0.07796707165396094,71,0.5075673788841747
239,2021-01-01,Qoryooley,0.4593911683311274,0.4512228697099891,0.4801347611599085,3583.0,0.5116666666666666,0.08,6.0,207773.0,1,False,-0.008168298621138326,73,0.4502030905221004
241,2021-01-01,Belet Weyne,0.2474660340737546,0.3071993772609909,0.4625835669613974,3583.0,0.2866666666666667,0.13,10.0,231851.0,1,True,0.059733343187236304,17,0.4437339389302716
242,2021-01-01,Sablaale,0.4548825710754017,0.4486895846702985,0.4933201385452746,3583.0,0.5950000000000001,0.07,5.0,20213.0,1,False,-0.006192986405103185,77,0.44748635345295523
243,2021-01-01,Hargeysa,0.1965854943370926,0.2676350893059009,0.1277865307901176,3583.0,0.19999999999999998,0.12,2.0,1044086.0,1,True,0.0710495949688083,52,0.22064169276606344
244,2021-01-01,Baraawe,0.4911894273127753,0.4655421778369564,0.4505242752665433,3583.0,0.4216666666666667,0.06,5.0,56743.0,1,False,-0.025647249475818923,14,0.41325803707807135
245,2021-01-01,Sheikh,0.1828371278458844,0.2242774189339074,0.1455487847587028,3583.0,0.26,0.18,2.0,71387.0,1,True,0.041440291088022996,78,0.24528278339994847
246,2021-01-01,Bulo Burto,0.1980742778541953,0.3462197497828791,0.4556007922535211,3583.0,0.3666666666666667,0.12,10.0,90880.0,1,True,0.14814547192868383,25,0.4330390488603947
247,2021-01-01,Borama,0.1912113359430997,0.2772673624137732,0.1412881669919613,3583.0,0.255,0.11,2.0,453434.0,1,True,0.08605602647067351,22,0.3177793353363748
