date,next_prevalence,district,GAM Prevalence,actor2_Police Forces of Somaliland (2010-),interaction_12,fatalities,interaction_27,actor2_Al Shabaab,district_encoded,actor1_Police Forces of Somalia (2017-2022),actor1_Military Forces of Somalia (2017-2022),actor2_Military Forces of Somalia (2017-2022)
2017-07-01,0.3432,Iskushuban,0.4056,0.0,4.0,80.0,0.0,3.0,44,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Jalalaqsi,0.4290000000000001,0.0,1.0,15.0,3.0,8.0,45,0.0,4.0,0.0
2017-07-01,0.3926,Jamaame,0.4316000000000001,0.0,3.0,62.0,3.0,9.0,46,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Garbahaarey,0.4316,0.0,4.0,459.0,3.0,26.0,39,0.0,1.0,0.0
2017-07-01,0.3925999999999999,Jilib,0.4316000000000001,0.0,4.0,70.0,5.0,20.0,48,0.0,0.0,0.0
2017-07-01,0.351,Jowhar,0.3692000000000001,0.0,39.0,279.0,13.0,98.0,49,1.0,22.0,2.0
2017-07-01,0.3925999999999999,Kismaayo,0.4255768922026957,0.0,63.0,417.0,13.0,110.0,50,0.0,2.0,0.0
2017-07-01,0.3510000000000001,Kurtunwaarey,0.3691999999999999,0.0,2.0,7.0,2.0,4.0,51,0.0,0.0,0.0
2017-07-01,0.2911999999999999,Laas Caanood,0.442,9.0,0.0,55.0,3.0,0.0,52,0.0,1.0,1.0
2017-07-01,0.3367,Laasqoray,0.4446000000000001,0.0,1.0,10.0,1.0,3.0,53,0.0,0.0,0.0
2018-01-01,0.2211366753028379,Burco,0.2028,5.0,0.0,10.0,0.0,0.0,18,0.0,0.0,0.0
2018-01-01,0.4927859267135329,Burtinle,0.3795999999999999,0.0,0.0,18.0,0.0,0.0,19,0.0,0.0,0.0
2018-01-01,0.226129551832888,Buuhoodle,0.2027999999999999,1.0,0.0,38.0,1.0,0.0,20,0.0,0.0,0.0
2018-01-01,0.4846909879180319,Buur Hakaba,0.2886,0.0,17.0,182.0,7.0,35.0,21,0.0,9.0,0.0
2018-01-01,0.2829201738380863,Cadale,0.351,0.0,1.0,46.0,2.0,4.0,24,0.0,2.0,0.0
2018-01-01,0.4507637375759017,Caluula,0.3432,0.0,1.0,0.0,0.0,1.0,25,0.0,0.0,0.0
2018-01-01,0.2428031590674251,Caynabo,0.2911999999999999,1.0,0.0,3.0,0.0,0.0,26,0.0,0.0,0.0
2018-01-01,0.2906972787612182,Ceel Afweyn,0.3367,1.0,0.0,7.0,0.0,0.0,27,0.0,0.0,0.0
2018-01-01,0.3602624374798162,Ceel Buur,0.4212,0.0,1.0,38.0,3.0,9.0,29,0.0,1.0,0.0
2018-01-01,0.3142399717243435,Ceel Dheer,0.4211999999999999,0.0,2.0,9.0,1.0,5.0,30,0.0,0.0,0.0
2018-01-01,0.2770029164634731,Ceel Waaq,0.3925999999999998,0.0,12.0,103.0,3.0,33.0,31,0.0,5.0,0.0
2018-01-01,0.3096083862495412,Ceerigaabo,0.3367000000000001,3.0,0.0,29.0,0.0,0.0,32,0.0,0.0,0.0
2018-01-01,0.3909032104916541,Dhuusamarreeb,0.4212,0.0,1.0,89.0,1.0,4.0,33,0.0,1.0,0.0
2018-01-01,0.4769534198876959,Diinsoor,0.2886000000000001,0.0,14.0,63.0,5.0,24.0,34,2.0,6.0,1.0
2018-01-01,0.5392512067568789,Doolow,0.3926,0.0,3.0,10.0,3.0,3.0,35,1.0,1.0,0.0
2018-01-01,0.3908949717937982,Bulo Burto,0.3926,0.0,10.0,120.0,11.0,45.0,17,1.0,8.0,0.0
2018-01-01,0.482210605259551,Bossaso,0.3432,0.0,52.0,215.0,15.0,51.0,15,0.0,0.0,0.0
2018-01-01,0.384859060068862,Afgooye,0.351,0.0,158.0,921.0,33.0,262.0,1,6.0,120.0,5.0
2018-01-01,0.2972606382668021,Baardheere,0.3925999999999999,0.0,23.0,191.0,8.0,61.0,3,1.0,10.0,0.0
