date,next_prevalence,district,district_encoded,sub_event_type_Violent demonstration,sub_event_type_Suicide bomb,sub_event_type_Shelling/artillery/missile attack,sub_event_type_Sexual violence,sub_event_type_Remote explosive/landmine/IED,sub_event_type_Protest with intervention,sub_event_type_Peaceful protest,sub_event_type_Other,sub_event_type_Non-violent transfer of territory
2018-07-01,0.4231594017049179,Ceerigaabo,32,5.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0
2018-07-01,0.3069711905400723,Dhuusamarreeb,33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2018-07-01,0.1770356571398554,Burco,18,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
2018-07-01,0.3464523514753054,Caynabo,26,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2018-07-01,0.470453127878576,Bulo Burto,17,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0
2018-07-01,0.3942170096006928,Bossaso,15,6.0,1.0,3.0,0.0,24.0,0.0,5.0,3.0,0.0
2018-07-01,0.4383403468241347,Afgooye,1,2.0,2.0,10.0,0.0,47.0,0.0,4.0,2.0,5.0
2018-07-01,0.2870882907046133,Baardheere,3,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0
2018-07-01,0.2330307158506623,Badhaadhe,4,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0
2018-07-01,0.3124852051578765,Baki,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-07-01,0.4256324032458843,Balcad,6,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0
2018-07-01,0.31831560695452,Bu'aale,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4292576344574564,Banadir,7,6.0,8.0,14.0,0.0,113.0,4.0,18.0,2.0,1.0
2018-07-01,0.439931798183591,Baraawe,9,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,2.0
2018-07-01,0.4723126687951987,Baydhaba,10,0.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0,1.0
2018-07-01,0.4709482336256127,Belet Weyne,11,0.0,1.0,2.0,1.0,7.0,0.0,7.0,1.0,1.0
2018-07-01,0.4070600258586147,Belet Xaawo,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.2657364311048932,Berbera,13,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
2018-07-01,0.204456465641011,Borama,14,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0
2018-07-01,0.3786044640745989,Bandarbeyla,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3983778863086515,Doolow,35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4709407002848428,Diinsoor,34,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2018-07-01,0.3939217335250711,Gaalkacyo,37,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,0.0
2018-07-01,0.4847031486728068,Qandala,58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-01,0.4706401766004414,Qansax Dheere,59,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2018-07-01,0.4087521426316601,Qardho,60,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2018-07-01,0.4388574958395,Qoryooley,61,0.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0
2018-07-01,0.3836149906890133,Saakow,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4365207106198354,Sablaale,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-07-01,0.3787844823934796,Taleex,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4731941786256158,Tayeeglow,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4792888339084379,Waajid,68,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2018-07-01,0.4417324945420314,Wanla Weyn,69,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
2018-07-01,0.3440937497588239,Xarardheere,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3499931256730363,Xudun,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.48161201917032,Xudur,72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-01,0.2939877424871059,Zeylac,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.2072939133886237,Owdweyne,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-07-01,0.4356751207813825,Marka,56,0.0,0.0,7.0,0.0,35.0,0.0,0.0,0.0,1.0
2018-07-01,0.3817815509494871,Laasqoray,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-07-01,0.4017369795363936,Galdogob,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2018-07-01,0.3582420806274685,Garbahaarey,39,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
2018-07-01,0.3790731071095702,Garoowe,40,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2018-07-01,0.195572345649635,Gebiley,41,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2018-07-01,0.1951645146346709,Hargeysa,42,7.0,0.0,0.0,6.0,0.0,4.0,4.0,1.0,0.0
2018-07-01,0.4239158201206688,Iskushuban,44,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4698845151234747,Jalalaqsi,45,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2018-07-01,0.3149404261361454,Jamaame,46,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.3520726565695597,Hobyo,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3157056116630282,Jilib,48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2018-07-01,0.4361091139158288,Jowhar,49,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,7.0
2018-07-01,0.3096236699207461,Kismaayo,50,2.0,0.0,6.0,0.0,19.0,1.0,2.0,0.0,0.0
2018-07-01,0.4391758387432182,Kurtunwaarey,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2018-07-01,0.3237610476395274,Laas Caanood,52,2.0,0.0,8.0,0.0,3.0,0.0,4.0,0.0,1.0
2018-07-01,0.4097136186539254,Luuq,55,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.3121385033565494,Buuhoodle,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.5490683229813665,Buur Hakaba,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.3728535271691253,Cabudwaaq,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3520109308137275,Cadaado,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2019-01-01,0.3368835013608263,Cadale,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.350049306671516,Dhuusamarreeb,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5293849399339471,Ceel Barde,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3777466079633201,Ceel Buur,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.302048788800896,Ceel Dheer,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.4894280635303719,Ceel Waaq,31,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
2019-01-01,0.3969125115565767,Ceerigaabo,32,1.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0
2019-01-01,0.2998339565222233,Burco,18,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
2019-01-01,0.5512844916157692,Diinsoor,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019-01-01,0.4022499807716035,Ceel Afweyn,27,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
