date,next_prevalence,district,district_encoded,number_conflicts,count_actors_4,count_actors_3,count_actors_2,count_actors_1,source_scale_Subnational-National,source_scale_Subnational,source_scale_Regional,source_scale_Other-Subnational
2018-07-01,0.4709482336256127,Belet Weyne,11,58,0.0,11.0,46.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4070600258586147,Belet Xaawo,12,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.2657364311048932,Berbera,13,7,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
2018-07-01,0.204456465641011,Borama,14,10,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0
2018-07-01,0.3786044640745989,Bandarbeyla,8,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3983778863086515,Doolow,35,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4709407002848428,Diinsoor,34,9,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3939217335250711,Gaalkacyo,37,26,0.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4847031486728068,Qandala,58,6,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.4706401766004414,Qansax Dheere,59,15,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.4087521426316601,Qardho,60,6,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4388574958395,Qoryooley,61,38,0.0,5.0,32.0,1.0,0.0,1.0,0.0,0.0
2018-07-01,0.3836149906890133,Saakow,63,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4365207106198354,Sablaale,64,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3787844823934796,Taleex,66,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4731941786256158,Tayeeglow,67,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4792888339084379,Waajid,68,6,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4417324945420314,Wanla Weyn,69,17,0.0,3.0,12.0,2.0,1.0,1.0,0.0,0.0
