prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,district_encoded
0.4539589601919299,0.0,0.4216666666666667,0.06,5.0,180335.6358725136,1,67
0.5481180166869125,0.0,0.4566666666666666,0.02,5.0,51734.09343957278,1,80
0.3310823852137992,0.0,0.21833333333333335,0.12,2.0,87385.56574216185,1,69
0.2395519799571875,0.0,0.25833333333333336,0.01,4.0,33447.63645086472,1,83
0.4647070601850455,0.0,0.5183333333333334,0.02,6.0,207773.35359388735,1,73
0.5898451672177014,0.0,0.37999999999999995,0.03,10.0,90880.01596748602,1,25
0.5490683229813664,0.0,0.4283333333333333,0.05,7.0,61938.87849344224,1,71
0.5163749201445982,0.0,0.5416666666666666,0.13,5.0,78010.51320069526,1,24
0.302048788800896,0.0,0.2833333333333333,0.08,4.0,72923.28166112433,1,39
0.2213906679944643,0.0,0.22166666666666668,0.11,2.0,1044086.4877006176,1,52
0.4823586641167936,0.0,0.5850000000000001,0.04,3.0,45955.77503381839,1,7
0.4607258650079849,0.0,0.37000000000000005,0.04,7.0,156219.50041752722,1,59
0.5113327705575001,0.0,0.5483333333333333,0.1,5.0,148587.5543244151,1,58
0.5545845681860391,0.0,0.27166666666666667,0.21,7.0,56310.36134752707,1,45
0.5457788588250408,0.0,0.40166666666666667,0.07,5.0,79231.76914493041,1,85
0.2418992297764819,0.0,0.2683333333333333,0.07,2.0,97440.90188899483,1,51
0.4207892941616012,0.0,0.3516666666666666,0.03,6.0,183232.62183404109,1,11
0.462159131461528,0.0,0.35833333333333334,0.06,6.0,191430.83595608792,1,3
0.412029161025459,0.0,0.505,0.22,3.0,377653.3312260424,1,60
0.3487584354785739,0.0,0.21166666666666667,0.12,4.0,69851.37649863526,1,53
0.5868054618205713,0.0,0.3183333333333333,0.08,5.0,231850.5809215716,1,17
0.5512844916157692,0.0,0.46666666666666673,0.08,7.0,139564.3460664642,1,44
0.4656396293608185,0.0,0.5933333333333334,0.02,5.0,188546.8622552998,1,61
0.5458546307673043,0.0,0.38833333333333336,0.05,5.0,69575.12337121068,1,81
0.311807882954238,0.0,0.265,0.12,2.0,71386.5516097911,1,78
0.4680395945111392,0.0,0.39999999999999997,0.04,5.0,56743.49512043875,1,14
0.3909294797509632,5.0,0.5133333333333333,0.1,5.0,148587.0,7,58
0.4403832811966767,5.0,0.46166666666666667,0.11,5.0,61242.0,7,56
0.3899254108022901,5.0,0.3466666666666667,0.03,6.0,183234.0,7,11
0.4587764880148566,5.0,0.5750000000000001,0.04,4.0,20212.0,7,77
0.3489569935965541,5.0,0.605,0.04,5.0,45955.0,7,7
0.4454830625784129,5.0,0.41,0.04,5.0,56744.0,7,14
0.2138712946350238,5.0,0.22833333333333336,0.06,4.0,453434.0,7,22
0.2081401693223537,5.0,0.25666666666666665,0.12,2.0,71386.0,7,78
0.5312342103332384,5.0,0.36166666666666664,0.05,4.0,69574.0,7,81
0.4954915340016362,5.0,0.31,0.08,9.0,231850.0,7,17
0.4443390921876267,5.0,0.4633333333333334,0.02,5.0,207773.0,7,73
0.3962781291497199,5.0,0.25666666666666665,0.01,3.0,33447.0,7,83
0.6480009367515506,5.0,0.4066666666666667,0.05,7.0,61939.0,7,71
0.2667717736348647,5.0,0.25166666666666665,0.07,4.0,97441.0,7,51
0.4735042553650304,5.0,0.36333333333333334,0.01,9.0,100263.0,7,55
0.4462076309782391,5.0,0.37833333333333335,0.04,6.0,156220.0,7,59
0.4261285631981143,5.0,0.25166666666666665,0.21,7.0,56311.0,7,45
0.4492225378213771,5.0,0.30833333333333335,0.06,6.0,191431.0,7,3
0.3769676308818636,5.0,0.5516666666666666,0.22,5.0,377653.0,7,60
0.631234351243638,5.0,0.45,0.08,7.0,139564.0,7,44
0.549549493748511,5.0,0.3766666666666667,0.07,5.0,79231.0,7,85
